"","id","date","tavg"
"263","RSM00037472",2013-09-20,21.9
"264","RSM00037472",2013-09-21,22
"265","RSM00037472",2013-09-22,NA
"266","RSM00037472",2013-09-23,17.3
"267","RSM00037472",2013-09-24,19
"268","RSM00037472",2013-09-25,17.3
"269","RSM00037472",2013-09-26,NA
"270","RSM00037472",2013-09-27,19.2
"271","RSM00037472",2013-09-28,13.8
"272","RSM00037472",2013-09-29,12.6
"273","RSM00037472",2013-09-30,NA
"274","RSM00037472",2013-10-01,15.6
"275","RSM00037472",2013-10-02,17.4
"276","RSM00037472",2013-10-03,15.4
"277","RSM00037472",2013-10-04,10.5
"278","RSM00037472",2013-10-05,10.2
"279","RSM00037472",2013-10-06,10.1
"280","RSM00037472",2013-10-07,9.7
"281","RSM00037472",2013-10-08,7.9
"282","RSM00037472",2013-10-09,13.4
"283","RSM00037472",2013-10-10,15.4
"284","RSM00037472",2013-10-11,17.1
"285","RSM00037472",2013-10-12,17.2
"286","RSM00037472",2013-10-13,15.2
"287","RSM00037472",2013-10-14,14.7
"288","RSM00037472",2013-10-15,15
"289","RSM00037472",2013-10-16,NA
"290","RSM00037472",2013-10-17,15.1
"291","RSM00037472",2013-10-18,15.2
"292","RSM00037472",2013-10-19,15.7
"293","RSM00037472",2013-10-20,16.1
"294","RSM00037472",2013-10-21,9.6
"295","RSM00037472",2013-10-22,10.2
"296","RSM00037472",2013-10-23,9.7
"297","RSM00037472",2013-10-24,5.9
"298","RSM00037472",2013-10-25,10.4
"299","RSM00037472",2013-10-26,12.6
"300","RSM00037472",2013-10-27,9.9
"301","RSM00037472",2013-10-28,NA
"302","RSM00037472",2013-10-29,14.2
"303","RSM00037472",2013-10-30,14.2
"304","RSM00037472",2013-10-31,13.4
"305","RSM00037472",2013-11-01,NA
"306","RSM00037472",2013-11-02,NA
"307","RSM00037472",2013-11-03,NA
"308","RSM00037472",2013-11-04,NA
"309","RSM00037472",2013-11-05,NA
"310","RSM00037472",2013-11-06,NA
"311","RSM00037472",2013-11-07,NA
"312","RSM00037472",2013-11-08,NA
"313","RSM00037472",2013-11-09,NA
"314","RSM00037472",2013-11-10,NA
"315","RSM00037472",2013-11-11,NA
"316","RSM00037472",2013-11-12,NA
"317","RSM00037472",2013-11-13,NA
"318","RSM00037472",2013-11-14,NA
"319","RSM00037472",2013-11-15,NA
"320","RSM00037472",2013-11-16,NA
"321","RSM00037472",2013-11-17,NA
"322","RSM00037472",2013-11-18,NA
"323","RSM00037472",2013-11-19,NA
"324","RSM00037472",2013-11-20,NA
"325","RSM00037472",2013-11-21,NA
"326","RSM00037472",2013-11-22,NA
"327","RSM00037472",2013-11-23,NA
"328","RSM00037472",2013-11-24,NA
"329","RSM00037472",2013-11-25,NA
"330","RSM00037472",2013-11-26,NA
"331","RSM00037472",2013-11-27,NA
"332","RSM00037472",2013-11-28,NA
"333","RSM00037472",2013-11-29,NA
"334","RSM00037472",2013-11-30,NA
"335","RSM00037472",2013-12-01,NA
"336","RSM00037472",2013-12-02,NA
"337","RSM00037472",2013-12-03,NA
"338","RSM00037472",2013-12-04,NA
"339","RSM00037472",2013-12-05,NA
"340","RSM00037472",2013-12-06,NA
"341","RSM00037472",2013-12-07,NA
"342","RSM00037472",2013-12-08,NA
"343","RSM00037472",2013-12-09,NA
"344","RSM00037472",2013-12-10,NA
"345","RSM00037472",2013-12-11,NA
"346","RSM00037472",2013-12-12,NA
"347","RSM00037472",2013-12-13,NA
"348","RSM00037472",2013-12-14,NA
"349","RSM00037472",2013-12-15,NA
"350","RSM00037472",2013-12-16,NA
"351","RSM00037472",2013-12-17,NA
"352","RSM00037472",2013-12-18,NA
